Name,PE_14,PE_8,PE_9,PN_16,PN_17,PN_9
PB.12136.3,1.30969,1.49797,0.0,8.79886,8.25728,0.928001
PB.12134.3,0.0,0.618961,0.700188,0.0,0.435072,1.06874
PB.12135.1,4.94246,3.52566,4.5564,0.0,1.41559,1.73867
PB.12134.2,3.91539,1.30831,2.06652,1.01498,1.13227,0.0
PB.12134.1,4.11435,2.34795,2.53282,4.22292,7.81556,0.0
PB.12133.1,0.0,6.23877,0.0,9.18065,1.13861,0.0
PB.12132.2,1.2499,0.848218,1.30135,0.641374,0.0,0.0
PB.12130.2,1.80826,0.0,0.0,1.85597,3.11409,1.27223
PB.12130.1,2.69015,0.511732,1.88866,2.30095,7.70168,1.2618
PB.12128.10,2.86252,3.81164,7.91676,2.44838,3.82603,9.39852
PB.12128.9,0.0,0.0,0.744972,3.2424,1.76797,0.0
PB.12128.8,3.01632,4.30333,6.84506,5.41785,3.55889,4.24436
PB.12128.5,0.0,0.758511,0.0,0.682114,0.91933,0.0
PB.12128.3,0.0,0.596425,0.97511,1.20732,1.08409,0.0
PB.12128.1,0.0,0.0,3.19158,1.06601,1.58651,1.9486
PB.12127.1,5.74026,0.0,3.88976,7.19643,3.39328,2.01939
PB.12126.3,5.19457,2.67498,4.32172,1.2034,1.34268,2.47369
PB.12126.2,115.008,37.5039,81.4114,84.3168,41.1748,26.0086
PB.12124.1,7.34984,2.09718,0.0,0.942974,3.15764,7.75664
PB.12122.2,0.461601,0.0,0.425545,0.236891,1.05767,0.324767
PB.12123.1,3.99948,4.12106,11.0723,0.820992,0.458196,6.96175
PB.12122.1,55.548,46.5228,35.0641,8.75699,7.48048,34.1693
PB.12121.1,1.58155,0.592296,3.92369,0.0,0.0,3.04465
PB.12120.1,86.0487,60.018,66.106,9.81327,5.47679,30.2705
PB.12117.1,25.7275,243.973,175.831,346.188,278.117,153.84
PB.12116.1,0.0,396.666,180.977,573.773,557.313,399.61
PB.12113.2,2.78418,0.773327,1.24926,0.695438,0.0,2.86024
PB.12113.1,38.0406,24.2645,7.46368,7.52435,0.0,21.6626
PB.12112.1,0.0,2518.3,253.393,369.791,298.297,284.204
PB.12111.1,0.0,11.4311,3.95705,0.0,1.63918,3.01994
PB.12110.1,3.43525,37.2477,28.5022,3.5259,7.87123,24.1692
PB.12106.1,6.38113,3.64154,7.35335,5.73083,3.65529,3.36716
PB.12105.1,0.0,0.70452,1.13811,0.633561,0.707181,0.0
PB.12104.2,0.0,1.87936,1.56919,7.66358,8.46168,4.61907
PB.12103.1,2.1688,4.33187,0.0,1.66953,4.96941,0.762952
PB.12102.1,1.91994,0.0,0.884983,0.0,0.549897,0.0
PB.12101.1,0.0,0.356829,1.72931,0.0,0.716353,0.439924
PB.12099.4,5.58908,10.1586,1.9547,2.89149,5.93706,6.00535
PB.12099.3,1.57056,2.53578,2.45336,0.0,0.743185,0.0
PB.12099.2,40.318,46.4971,18.0264,33.2898,37.2987,31.6617
PB.12098.1,0.0,0.922019,0.744733,0.414576,0.0,1.13673
PB.12097.3,1.56457,1.78579,4.0528,0.0,0.0,2.20155
PB.12097.1,0.0,1.09063,0.58728,0.326926,0.0,1.3446
PB.12095.1,5.42615,0.0,4.00184,1.6708,0.0,3.81765
PB.12094.4,1.5094,9.81206,8.98095,0.7185,2.35613,15.838
PB.12094.3,9.50346,19.5241,37.6728,30.7259,19.5979,43.195
PB.12094.1,17.7219,68.2291,25.1087,28.8036,21.4106,112.306
PB.12092.2,0.0,7.28625,3.30474,4.36825,2.43792,2.99433
PB.12092.1,2.61553,5.97044,2.98162,6.71137,0.749124,3.68039
PB.12091.1,0.0,12.9274,1.82754,1.68424,5.83842,0.0
